ID,title,jobDate,jobCondition,jobSector
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49677291,"2025년 나비엠알오 수입무역,회계 정규직 채용공고",~ 03/16(일) 입사지원,서울 금천구 신입·경력 대졸↑ 정규직,"Python, Java, 데이터분석가, RDBMS, iBATIS 외 수정일 25/03/11"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50196055,[카카오자회사] DBA 영입,~ 04/09(수) 입사지원,경기 성남시 분당구 경력 1~16년 학력무관 정규직,"데이터엔지니어, DBA, DBMS, RDBMS, OracleDB 외 등록일 25/03/10"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50157086,웹 프로그래머 / FPGA 프로그래머 / AI 모델 개발 채용,~ 03/31(월) 입사지원,서울 강남구 신입·경력 초대졸↑ 정규직,"웹개발, C++, Java, AI(인공지능), C언어 외 수정일 25/03/10"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50158018,[서비스운영 및 데이터분석] 2025년 한국평가데이터 계약직원,~ 05/04(일) 홈페이지 지원,서울 영등포구 경력무관 대졸↑ 계약직,"데이터분석가, 서비스기획, 데이터분석, 리스크 관리, 금융기관 수정일 25/03/05"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50190376,"충전기, 모빌리티 운영플랫폼 개발 및 빅데이터 처리 엔지니어",~ 05/07(수) 입사지원,경기 화성시 신입·경력 대졸↑ 정규직·계약직,"Python, 웹개발, 백엔드/서버개발, C++, Java 외 등록일 25/03/08"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49871395,[2025] 백엔드 / 웹 프론트 개발자 모집,~ 04/05(토) 입사지원,서울 구로구 경력무관 초대졸↑ 정규직·계약직,"웹개발, 백엔드/서버개발, 데이터 사이언티스트, 디자인회사, 전시·공간디자인 등록일 25/02/04"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50081894,[Nexon Company] nmp 데이터엔지니어 인재 모집,~ 03/26(수) 홈페이지 지원,서울 송파구 경력5년↑ 학력무관 정규직,"Python, Linux, 데이터분석가, 데이터엔지니어, MariaDB 외 수정일 25/02/25"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50053677,[제이시스메디칼] 각 부문 신입/경력 채용,~ 03/23(일) 입사지원,서울 금천구 신입·경력 고졸↑ 정규직,"C++, C언어, 유지보수, 임베디드, 펌웨어 외 수정일 25/03/06"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50111309,SW개발자 채용-신입,~ 03/29(토) 입사지원,서울 성동구 신입 초대졸↑ 정규직,"Python, 웹개발, 백엔드/서버개발, Java, 프론트엔드 외 등록일 25/02/27"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50196116,[ESLIM KOREA] Junior A.I Engineer Recruitment,~ 04/09(수) 입사지원,서울 금천구 신입 대졸↑ 정규직,"Python, C++, 머신러닝, 딥러닝, SE(시스템엔지니어) 외 수정일 25/03/10"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50172641,백엔드 개발자 채용,~ 04/04(금) 점핏에서 지원,서울 강남구 경력 2~10년 학력무관 정규직,"Python, 웹개발, 백엔드/서버개발, DBA, 인프라 외 등록일 25/03/06"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50054792,벤츠 공식딜러 HS효성더클래스(주) IT 경력직 모집,채용시 입사지원,서울 강남구 경력 8~12년 대졸↑ 정규직,"Python, 웹개발, Java, Linux, 유지보수 외 수정일 25/02/20"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50197788,'25년 상반기 각 부문 정규직 채용,~ 04/09(수) 입사지원,경기 용인시 처인구 신입·경력 학력무관 정규직,"Python, 백엔드/서버개발, C++, Java, 머신러닝 외 수정일 25/03/11"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49920861,스타트업 개발자 2인 모집,~ 03/14(금) 입사지원,서울 동대문구 경력무관 초대졸↑ 계약직 300 만원,"웹개발, 백엔드/서버개발, SE(시스템엔지니어), 앱개발, 퍼블리셔 외 수정일 25/02/19"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50006354,AI영상처리&머신비전 알고리즘,~ 03/15(토) 입사지원,경기 안양시 신입·경력 초대졸↑ 정규직,"Python, C++, C#, OpenCV, Tensorflow 외 수정일 25/02/21"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49863029,주니어 데이터 사이언티스트 채용 공고,채용시 입사지원,서울 강남구 신입 대졸↑ 정규직·해외취업,"머신러닝, 딥러닝, 데이터분석가, 데이터엔지니어, 데이터 사이언티스트 외 등록일 25/02/03"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50159583,[백엔드 개발자] 백엔드/서버개발 경력직 모집,~ 05/04(일) 입사지원,서울 구로구 경력무관 학력무관 정규직,"백엔드/서버개발, 종합포털 등록일 25/03/05"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50186839,웹 개발 관리자 채용,~ 04/05(토) 입사지원,서울 강남구 경력 7~10년 대졸↑ 정규직,"Python, 웹개발, 백엔드/서버개발, 퍼블리셔, 프론트엔드 외 등록일 25/03/07"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50027456,로데슈바르즈코리아 R&D 소프트웨어 개발자 신입/경력직(서울),채용시 입사지원,서울 강남구 신입·경력 대졸↑ 정규직,"Python, C++, Java, 알고리즘, 아키텍쳐 외 등록일 25/02/18"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50107801,[원주/네오아리아] 개발자(Frontend/Backend) 신규 및 경력,~ 03/31(월) 입사지원,강원 원주시 경력무관 대졸↑ 정규직,"웹개발, Java, Ajax, JPA, JSP 외 수정일 25/03/07"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50200343,백엔드 개발자 (전환형 인턴),~ 03/21(금) 홈페이지 지원,서울 강남구 경력무관 대졸↑ 인턴직,"백엔드/서버개발, 소프트웨어개발 등록일 25/03/10"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50124808,[SOOP] 데이터 분석 및 지표 설계,~ 03/16(일) 입사지원,경기 성남시 분당구 경력 3~10년 학력무관 정규직,"Python, 데이터분석가, 데이터엔지니어, 데이터마이닝, 데이터시각화 외 등록일 25/02/28"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50201969,아트만파트너스 Web 개발자(ERP 시스템 등) 모집 공고,채용시 입사지원,서울 강남구 신입·경력 초대졸↑ 정규직,"백엔드/서버개발, Java, 데이터엔지니어, 데이터시각화, 솔루션 외 수정일 25/03/10"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50157566,1yr Internship: Automotive Sensor,~ 04/04(금) 입사지원,서울 강남구 신입 대졸↑ 인턴직,"Python, C언어, 임베디드, 반도체 등록일 25/03/05"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50075192,[신입] 클라우드(Cloud) 운영 엔지니어 모집,~ 03/26(수) 입사지원,서울 강남구 신입 초대졸↑ 정규직,"SE(시스템엔지니어), 기술지원, 유지보수, 정보보안, IT컨설팅 외 등록일 25/02/24"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50146570,C++ 소프트웨어 개발자(신입),~ 04/03(목) 입사지원,서울전체 신입·경력 학력무관 정규직,"Python, C++, C언어, SE(시스템엔지니어), Linux 외 등록일 25/03/04"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50062830,SOC 경력 정규직 채용,~ 03/22(토) 입사지원,서울 중구 경력 2~12년 대졸↑ 정규직,"Python, 백엔드/서버개발, SE(시스템엔지니어), Linux, 데이터분석가 외 수정일 25/02/21"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50090085,오토닉스(진천) 생산기술팀 정규직 채용,~ 03/16(일) 입사지원,"충북 진천군 신입·경력 대졸↑ 정규직 6,000 만원","기계조작원, 공정엔지니어, 공정설계, 기계설계, 시스템설계 외 수정일 25/02/25"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50040659,"[여의도/연3,100이상] 나이스평가정보 데이터분석 담당자 모집",~ 03/21(금) 입사지원,"서울 영등포구 경력무관 초대졸↑ 계약직·파견직 3,200 만원","Python, 데이터분석가, 정보보안, 데이터시각화, 빅데이터 외 수정일 25/02/28"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50168105,[동국시스템즈] AI프로젝트 관리/운영자 모집(포항근무),~ 03/16(일) 입사지원,경북 포항시 남구 경력4년↑ 대졸↑ 정규직,"Python, Java, AI(인공지능), 머신러닝, Django 외 등록일 25/03/06"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50158335,"[재공고 / AI ]더존비즈온 AI 분야 경력자 채용(엔지니어, TA)",~ 03/23(일) 홈페이지 지원,강원 춘천시 경력1년↑ 학력무관 정규직,"Python, 웹개발, 백엔드/서버개발, AI(인공지능), Linux 외 등록일 25/03/05"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50207538,TYM 경력사원 모집 (서울/용산),~ 04/10(목) 홈페이지 지원,서울 용산구 경력무관 대졸↑ 정규직,"감사, 내부감사, HRD, 해외영업, 무역거래 외 등록일 25/03/11"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50176504,[알바천국] 웹개발자 정규직 모집,~ 03/27(목) 입사지원,서울 강남구 경력 3~10년 초대졸↑ 정규직,"Python, 웹개발, 프론트엔드, .NET, ASP 외 등록일 25/03/07"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49780009,삼양식품(주) - Healthcare BU Bioinformatics담당 연구원 채용,~ 03/16(일) 홈페이지 지원,서울 성동구 경력2년↑ 대졸↑ 정규직,"Python, 머신러닝, 딥러닝, MySQL, R&D 외 등록일 25/01/15"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50167065,신세계건설(주) BIM 경력사원 채용,~ 03/23(일) 홈페이지 지원,서울 중구 경력5년↑ 학력무관 정규직,"BIM, TEKLA, Navisworks, Revit, 건설회사 등록일 25/03/06"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49765893,AI & MLOps 플랫폼 프론트엔드/백엔드 개발 채용공고,상시채용 입사지원,서울 중구 경력무관 학력무관 정규직,"Python, 웹개발, AI(인공지능), 빅데이터, Nginx 외 수정일 25/01/17"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50182970,분산스토리지 개발 담당자,~ 03/17(월) 점핏에서 지원,서울전체 신입·경력 대졸↑ 정규직,"Python, 웹개발, 백엔드/서버개발, Java, SE(시스템엔지니어) 외 등록일 25/03/07"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49858888,[메타엠]기업부설연구소 AICC 개발실 개발자 채용,채용시 입사지원,서울 중구 경력무관 학력무관 정규직,"Python, 웹개발, 백엔드/서버개발, Java, AI(인공지능) 외 수정일 25/03/10"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50193537,(주)사이키바이오텍 R&D 연구원 채용,~ 03/16(일) 입사지원,대전 유성구 경력무관 대졸↑ 정규직,"연구원, 임상PM, CRA(임상연구원), CRM(임상연구전문가), R&D 외 등록일 25/03/10"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50073437,[인천 송도 근무] 마케팅 일반 사무직 채용,채용시 입사지원,인천 연수구 경력무관 학력무관 정규직,"사무직, 문서작성, 사무보조, 사무행정, 사이트관리 외 수정일 25/02/24"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50128756,HD현대 AMC사이언스 '25년 신입 및 경력사원 모집,~ 03/17(월) 홈페이지 지원,서울 송파구 신입·경력 대졸↑ 정규직·계약직,"연구원, R&D, R&D기획, 전략기획, 사업개발 외 수정일 25/03/07"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50202952,[캐시워크] 데이터분석 담당 채용전환형 인턴,~ 05/09(금) 입사지원,서울 강남구 신입 대졸↑ 인턴직,"Python, 머신러닝, 데이터분석가, 데이터엔지니어, 데이터라벨링 외 등록일 25/03/10"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49878074,"[C#, Revit] 부설연구소 BIM 자동화 소프트웨어 개발자 채용",~ 03/28(금) 입사지원,서울 강동구 경력무관 대졸↑ 정규직,"Python, S/W, .NET, C#, WPF 외 수정일 25/02/07"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50186667,2025 (주)미래와도전 상반기 부문별 신입 및 경력 채용,~ 03/31(월) 입사지원,경기 용인시 기흥구 신입·경력 대졸↑ 정규직,"Python, 웹개발, 백엔드/서버개발, C++, Java 외 수정일 25/03/10"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50146424,[아이아이컴바인드] 로봇 소프트웨어 엔지니어 채용 - ROS2,~ 05/03(토) 입사지원,서울 마포구 신입·경력 대졸↑ 정규직,"Python, C++, 로봇설계, 전자제어, ROS2 외 등록일 25/03/04"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50193231,코스닥상장사 (주)지아이텍 연구소(연구개발지원팀/신입)채용,채용시 입사지원,충남 아산시 경력무관 대졸↑ 정규직,"연구원, R&D, 기술연구, 공정분석, 정부과제 외 등록일 25/03/10"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50186220,메가스터디 입시전략연구소 데이터 분석 담당자,~ 03/23(일) 홈페이지 지원,서울 서초구 신입 대졸↑ 정규직,"통계/분석, 리서치, 데이터분석, 시장조사, 모의고사 외 등록일 25/03/07"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49806599,바이오 벤처 분야별 혁신 인재 채용,~ 03/21(금) 입사지원,서울 용산구 경력 석사↑ 정규직,"연구원, R&D, R&D기획, 기술연구, 생명과학 외 수정일 25/03/07"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50158647,[미국취업] 바이오기업 PSOMAGEN 미국본사-Lab연구원 채용,~ 04/04(금) 입사지원,미국 신입·경력 대졸↑ 계약직·해외취업,"CRA(임상연구원), 조직병리, 연구원, 임상PM, CRA(임상연구원) 외 등록일 25/03/05"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50125710,[KSTEC] Python 시스템 개발 신입사원 채용,~ 03/31(월) 입사지원,경기 성남시 분당구 신입 대졸↑ 정규직,"Python, Java, AI(인공지능), OCR, RPA 외 등록일 25/02/28"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49809406,"AI 개발(Python), 데이터분석 및 사업 기획 모집",채용시 입사지원,서울 강남구 신입·경력 대졸↑ 정규직,"머신러닝, 데이터분석가, 빅데이터, 크롤링, Pandas 외 수정일 25/03/10"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50090000,[경력] Solution/SW 개발자 채용 - Java/Python,~ 03/27(목) 입사지원,서울 강남구 경력무관 학력무관 정규직,"Python, 웹개발, 백엔드/서버개발, Java, 프론트엔드 외 등록일 25/02/25"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50087757,"Django, SaaS 개발자(python / 리드급) 채용공고",상시채용 입사지원,경기 오산시 경력10년↓ 대졸↑ 정규직,"Python, 네트워크, IoT, Keras, Pytorch 외 등록일 25/02/25"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49834058,[재택근무] REACT · PHP · PYTHON 개발자 모집,~ 03/25(화) 입사지원,서울 양천구 경력3년↑ 초대졸↑ 정규직,"Python, 웹개발, 백엔드/서버개발, 머신러닝, 딥러닝 외 수정일 25/03/10"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49749670,[솔루션] 백엔드 개발자 모집(python),오늘마감 입사지원,서울 강남구 경력무관 대졸↑ 정규직,"Python, 백엔드/서버개발, Java, 프론트엔드, 솔루션 외 등록일 25/01/10"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50195340,Python / Node / React 개발자,~ 04/08(화) 입사지원,경기 부천시 경력 2~5년 초대졸↑ 정규직,"Python, 웹개발, 백엔드/서버개발, 퍼블리셔, 프론트엔드 외 등록일 25/03/10"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50167665,엔이에스 Python 개발자 채용,~ 04/05(토) 입사지원,충북 청주시 청원구 경력 학력무관 정규직,"Python, 웹개발, 네트워크, 인프라, 고객관리 외 수정일 25/03/06"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50134584,기업연구소에서 C와 Python으로 SW 개발할 분을 구합니다,~ 03/27(목) 입사지원,대전 대덕구 경력무관 대졸↑ 정규직·계약직,"딥러닝, 기술지원, 아두이노, 임베디드리눅스, 개발PM 외 등록일 25/03/03"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=50183574,ROS 기반 UGV 개발자 모집 (Python 외),~ 05/06(화) 입사지원,대전 유성구 경력무관 대졸↑ 정규직,"Python, 로봇설계, 무인항공기/드론, 자동제어, 전자 외 수정일 25/03/10"
